test_id,input_request,expected_label_id,expected_label_name
TR_00001,Is there a way to undo a transaction?,8,cancel_transfer
TR_00002,How can my friend send me money?,50,receiving_money
TR_00003,I would like a temporary virtual card,37,get_disposable_virtual_card
TR_00004,If I need to exchange currency is there an extra fee?,31,exchange_charge
TR_00005,"My card payment is just showing up as pending since forever, what's going on with that, when should it be going through?",45,pending_card_payment
TR_00006,Is a new debit card free?,39,getting_spare_card
TR_00007,I need to reset my passcode. How do I do it?,44,passcode_forgotten
TR_00008,I'm panicking!  I lost my card!  Help!,41,lost_or_stolen_card
TR_00009,"Hello,  In my most recent ATM transaction, I didn't receive nearly as much cash as I thought I would - what is your exchange rate policy?",76,wrong_exchange_rate_for_cash_withdrawal
TR_00010,How can I add a new card?,13,card_linking
TR_00011,Can my friend send me money if it is not in US dollars?,50,receiving_money
TR_00012,"When traveling, is it possible for it to add money at specific time intervals?",4,automatic_top_up
TR_00013,Is it possible to link a new card?,13,card_linking
TR_00014,Why do i have to verify my top-up card?,71,verify_top_up
TR_00015,I would like to return my purchases,52,request_refund
TR_00016,Is there a reason a payment is showing complete on my side but the person who is receiving it has not gotten it?,66,transfer_not_received_by_recipient
TR_00017,I'm pretty sure my top up is still pending.,47,pending_top_up
TR_00018,Will I get charged on a foreign currencies exchange?,31,exchange_charge
TR_00019,You can use it anywhere that accepts Mastercard.,10,card_acceptance
TR_00020,Are cards issued to people living in the US?,24,country_support
TR_00021,What is the number of transactions I get with a disposable card?,29,disposable_card_limits
TR_00022,Tell me if there is a limit to top-up.,60,top_up_limits
TR_00023,What's the tracking on the card you sent?,11,card_arrival
TR_00024,"I don't see my refund money yet in my account. I asked the merchant a while ago for a refund, so I don't know what's taking so long.  Can you look into it and see if the money is there, just not in my account yet?",51,Refund_not_showing_up
TR_00025,Why is there an extra fee on my statement?,34,extra_charge_on_statement
TR_00026,I might need a new card because it's not working at any of the ATMs. I don't think ive used all my money. Why is it doing this?,26,declined_cash_withdrawal
TR_00027,May I get one of your cards?  I live in the EU.,24,country_support
TR_00028,"I think someone might have a copy of my card because a 500 dollar withdrawal was made, and it wasn't me. Can you please help?",20,cash_withdrawal_not_recognised
TR_00029,"I have a cash withdrawal that says it's pending, why?",46,pending_cash_withdrawal
TR_00030,I want to get Visa and Mastercard,73,visa_or_mastercard
TR_00031,Am I limited on the amount of disposable cards I can possess?,29,disposable_card_limits
TR_00032,I should not have been charged a fee for cash withdrawal.,19,cash_withdrawal_charge
TR_00033,Will I be charged if I use European bank card for top up?,57,top_up_by_card_charge
TR_00034,Is there a transfer fee?,64,transfer_fee_charged
TR_00035,I was informed that transfers were free. I noticed I have a fee but why?,64,transfer_fee_charged
TR_00036,My foreign currency exchange has been applied incorrectly.,17,card_payment_wrong_exchange_rate
TR_00037,"My card's frozen, what can I do?",49,pin_blocked
TR_00038,What to do if my card has been used without my permission?,22,compromised_card
TR_00039,How can I see the progress of delivery of the card that was sent?,11,card_arrival
TR_00040,A transfer has to be cancelled.,8,cancel_transfer
TR_00041,How do I to up by card?,62,topping_up_by_card
TR_00042,Is there somewhere I can send a check to add to my account?,58,top_up_by_cash_or_cheque
TR_00043,I no longer want this can i cancel my purchase?,52,request_refund
TR_00044,Im very upset as my top-up was canceled and I have no idea why.,61,top_up_reverted
